id,time,city,residence_MOM,residence_YOY,residence_FBI,commercial_residence_MOM,commercial_residence_YOY,commercial_residence_FBI,second_hand_MOM,second_hand_YOY,second_hand_FBI
159,2011年03月,湛江,100.8,106.7,104.5,100.8,106.7,104.5,100.2,108.1,104.6
160,2011年03月,武汉,100.4,105.5,103.5,100.4,105.5,103.5,99.8,103.1,102.0
161,2011年03月,太原,100.3,101.6,100.6,100.3,101.6,100.6,100.3,104.9,103.1
162,2011年03月,温州,100.0,101.1,100.3,100.0,101.1,100.3,99.8,117.2,109.3
163,2011年03月,丹东,100.8,115.4,109.2,100.8,115.4,109.2,99.9,102.7,101.4
164,2011年03月,北京,100.0,104.9,102.8,100.0,104.9,102.8,99.9,101.9,101.4
165,2011年03月,杭州,99.9,101.4,100.7,99.9,101.4,100.7,100.1,103.7,101.8
166,2011年03月,烟台,100.8,106.0,104.6,100.8,106.0,104.6,100.3,103.5,103.0
167,2011年03月,石家庄,100.9,111.5,107.5,100.9,111.5,107.5,100.0,102.7,102.0
168,2011年03月,北海,100.7,103.6,102.6,100.7,103.6,102.6,100.9,102.4,102.8
169,2011年03月,惠州,100.4,104.9,103.8,100.4,104.9,103.8,101.0,105.3,105.3
170,2011年03月,无锡,100.8,103.3,102.6,100.8,103.3,102.6,100.4,104.1,103.2
171,2011年03月,九江,100.9,104.7,103.8,101.0,104.7,103.8,100.0,104.8,104.0
172,2011年03月,青岛,100.4,104.4,103.2,100.4,104.4,103.2,100.0,103.7,103.1
173,2011年03月,锦州,100.4,106.9,104.5,100.4,106.9,104.5,100.0,100.3,100.2
174,2011年03月,安庆,99.9,107.9,104.3,99.9,107.9,104.3,100.1,104.4,103.1
175,2011年03月,南京,100.5,101.5,101.9,100.7,101.5,101.9,100.5,99.9,101.4
176,2011年03月,南充,100.2,99.5,99.3,100.2,99.5,99.3,99.9,101.2,101.6
177,2011年03月,韶关,100.1,104.8,104.3,100.1,104.8,104.3,100.2,101.2,101.1
178,2011年03月,襄樊,100.6,108.6,105.9,100.6,108.6,105.9,100.5,106.2,104.6
179,2011年03月,郑州,99.8,106.7,105.7,99.8,106.7,105.7,100.2,106.7,104.3
180,2011年03月,宜昌,100.7,105.5,103.0,100.7,105.5,103.0,100.1,101.5,101.9
181,2011年03月,海口,99.9,100.6,102.6,99.9,100.6,102.6,99.8,91.7,97.5
182,2011年03月,哈尔滨,100.5,106.8,103.5,100.6,106.8,103.5,100.0,102.6,101.8
183,2011年03月,济南,100.5,106.1,103.5,100.5,106.1,103.5,100.2,102.8,102.5
184,2011年03月,天津,100.5,106.6,104.4,100.5,106.6,104.4,100.6,102.8,102.3
185,2011年03月,合肥,100.0,103.4,102.5,100.0,103.4,102.5,100.1,104.4,102.8
186,2011年03月,成都,100.0,104.4,103.5,100.0,104.4,103.5,99.8,101.9,101.8
187,2011年03月,乌鲁木齐,100.7,110.1,107.4,100.7,110.1,107.4,101.0,111.0,107.5
188,2011年03月,洛阳,100.3,106.5,105.6,100.3,106.5,105.6,100.8,107.3,105.0
189,2011年03月,大连,100.6,106.3,104.3,100.6,106.3,104.3,99.9,105.3,103.2
190,2011年03月,金华,100.8,105.0,103.4,100.8,105.0,103.4,101.1,100.2,101.2
191,2011年03月,昆明,100.2,107.4,105.3,100.1,107.4,105.3,100.2,105.2,103.2
192,2011年03月,西宁,100.2,109.2,105.5,100.2,109.2,105.5,99.6,106.6,104.9
193,2011年03月,重庆,100.6,105.6,104.4,100.6,105.6,104.4,100.4,101.5,101.0
194,2011年03月,唐山,100.2,101.8,101.4,100.2,101.8,101.4,100.2,102.7,102.7
195,2011年03月,秦皇岛,99.4,110.0,106.0,99.4,110.0,106.0,100.3,103.4,102.2
196,2011年03月,深圳,100.0,103.1,103.3,100.0,103.1,103.3,100.6,104.8,104.8
197,2011年03月,泸州,100.0,100.7,100.5,100.1,100.7,100.5,100.1,98.2,99.1
198,2011年03月,蚌埠,100.6,104.2,103.7,100.6,104.2,103.7,100.2,105.7,103.6
199,2011年03月,南宁,100.8,102.2,102.3,100.8,102.2,102.3,99.3,102.4,101.5
200,2011年03月,宁波,99.4,103.2,101.3,99.4,103.2,101.3,100.0,96.6,98.5
201,2011年03月,兰州,99.5,110.9,106.7,99.5,110.9,106.7,94.2,108.4,102.4
202,2011年03月,银川,100.7,102.5,101.9,100.8,102.5,101.9,100.5,101.4,101.2
203,2011年03月,三亚,100.4,99.4,101.6,100.4,99.4,101.6,100.2,96.6,101.8
204,2011年03月,遵义,100.3,105.3,104.7,100.3,105.3,104.7,100.1,110.6,107.8
205,2011年03月,扬州,100.9,105.7,104.5,100.9,105.7,104.5,100.2,104.4,103.1
206,2011年03月,贵阳,100.6,105.3,103.8,100.6,105.3,103.8,100.3,107.1,104.9
207,2011年03月,牡丹江,100.0,109.7,107.1,100.0,109.7,107.1,100.1,109.1,106.6
208,2011年03月,赣州,99.1,108.3,105.7,99.1,108.3,105.7,99.8,102.0,101.4
209,2011年03月,徐州,100.9,103.4,103.1,100.9,103.4,103.1,100.0,101.1,100.9
210,2011年03月,广州,100.3,102.7,103.6,100.3,102.7,103.6,99.5,102.5,102.4
211,2011年04月,泉州,100.2,100.2,101.0,100.2,100.2,101.0,99.8,99.8,99.9
212,2011年04月,厦门,100.4,106.4,106.1,100.4,106.4,106.1,100.6,99.2,101.9
213,2011年04月,福州,100.5,104.0,104.2,100.5,104.0,104.2,99.2,101.2,101.3
214,2011年04月,西安,100.6,103.8,104.1,100.6,103.8,104.1,100.2,104.3,103.1
215,2011年04月,长春,100.5,104.1,103.4,100.5,104.1,103.4,100.4,101.3,101.3
216,2011年04月,上海,100.3,101.3,102.3,100.3,101.3,102.3,100.6,100.2,102.0
217,2011年04月,长沙,100.5,107.1,107.2,100.5,107.1,107.2,100.0,100.9,101.1
218,2011年04月,南昌,100.2,106.1,107.1,100.2,106.1,107.1,100.4,103.9,103.9
219,2011年04月,吉林,100.7,108.2,105.9,100.7,108.2,105.9,100.7,105.1,104.1
220,2011年04月,包头,100.3,105.2,104.5,100.3,105.2,104.5,100.3,101.4,101.4
221,2011年04月,呼和浩特,100.8,105.0,104.5,100.8,105.0,104.5,100.2,102.8,102.6
222,2011年04月,岳阳,99.8,105.2,107.1,99.9,105.2,107.1,100.0,108.7,108.5
223,2011年04月,桂林,100.0,106.9,105.8,100.0,106.9,105.8,100.1,101.7,101.3
224,2011年04月,济宁,100.3,104.4,103.7,100.4,104.4,103.7,100.0,107.2,106.3
225,2011年04月,常德,100.5,105.4,105.2,100.5,105.4,105.2,100.5,106.5,105.8
226,2011年04月,大理,100.0,101.0,101.1,100.0,101.0,101.1,99.1,107.5,103.6
227,2011年04月,沈阳,100.7,107.3,105.4,100.7,107.3,105.4,100.1,105.0,104.2
228,2011年04月,平顶山,99.6,105.2,103.9,99.6,105.2,103.9,100.5,105.5,105.5
229,2011年04月,湛江,100.3,106.0,104.9,100.3,106.0,104.9,100.1,106.9,104.7
230,2011年04月,武汉,100.4,104.3,103.9,100.4,104.3,103.9,100.2,102.3,102.2
231,2011年04月,太原,100.2,101.3,100.9,100.2,101.3,100.9,100.7,105.0,103.9
232,2011年04月,温州,100.0,100.1,100.3,100.0,100.1,100.3,99.5,108.5,108.8
233,2011年04月,丹东,100.2,111.1,109.4,100.2,111.1,109.4,99.5,101.6,100.9
234,2011年04月,北京,100.1,102.8,102.9,100.1,102.8,102.9,100.1,99.3,101.5
235,2011年04月,杭州,100.1,98.8,100.8,100.1,98.8,100.8,99.7,100.1,101.5
236,2011年04月,烟台,100.6,106.0,105.1,100.6,106.0,105.1,100.2,103.6,103.2
237,2011年04月,石家庄,100.2,106.7,107.7,100.2,106.7,107.7,100.3,102.4,102.3
238,2011年04月,北海,100.6,103.0,103.2,100.6,103.0,103.2,100.0,102.2,102.8
239,2011年04月,惠州,100.4,105.5,104.2,100.4,105.5,104.2,99.5,104.8,104.8
240,2011年04月,无锡,100.5,103.1,103.1,100.6,103.1,103.1,100.6,104.3,103.8
241,2011年04月,九江,100.7,104.8,104.5,100.7,104.8,104.5,100.0,104.4,104.0
