id,name,level,hot,num,price,area,province,city,longitude,latitude
2983,思南石林旅游区,,0.0,36,69.0,贵州·铜仁,贵州,铜仁,108.253873,27.937560
2984,贵阳森林公园,3A景区,0.72,4,29.0,贵州·贵阳·南明区,贵州,贵阳,106.751939,26.546255
2985,中科院西双版纳热带植物园,5A景区,0.8400000000000001,248,75.0,云南·西双版纳·勐腊县,云南,西双版纳,101.257348,21.924375
2986,姑鲁产蛋崖,3A景区,0.0,0,0.0,贵州·黔南·三都县,贵州,黔南,106.707410,26.598194
2987,石门关,4A景区,0.7,58,111.0,云南·大理·漾濞县,云南,大理,100.267638,25.606486
2988,海龙屯,,0.72,52,60.0,贵州·遵义·遵义县,贵州,遵义,122.681343,45.454479
2989,荔波樟江,4A景区,1.0,48,45.0,贵州·黔南·荔波县,贵州,黔南,107.858518,25.398466
2990,贵阳奇幻冰雪王国,,0.0,46,228.0,贵州·贵阳·花溪区,贵州,贵阳,106.690527,26.336592
2991,纳帕海,3A景区,0.76,46,30.0,云南·迪庆·香格里拉县,云南,迪庆,99.646378,27.824387
2992,贵阳南郊公园,,0.7,63,126.0,贵州·贵阳·小河区,贵州,贵阳,106.682455,26.539816
2993,观音峡,4A景区,0.7,40,0.1,云南·丽江·古城区,云南,丽江,100.268890,26.766836
2994,北川地震遗址,4A景区,0.7,72,35.0,四川·绵阳·北川新县城,四川,绵阳,104.466694,31.836144
2995,森哒星生态度假公园,,0.0,134,40.0,贵州·贵阳,贵州,贵阳,106.630153,26.647661
2996,西江苗族博物馆,,0.0,4,29.0,贵州·黔东南·西江千户苗寨,贵州,黔东南,108.174026,26.492989
2997,贵州省艺术馆,,0.0,98,98.0,贵州·贵阳·云岩区,贵州,贵阳,106.712799,26.568166
2998,双桥沟,,0.7,30,110.0,四川·阿坝藏族羌族自治州·四姑娘山,四川,阿坝藏族羌族自治州,102.224653,31.899413
2999,女皇温泉酒店,,0.0,28,28.0,四川·广元·利州区,四川,广元,105.843357,32.435435
3000,凯地里拉温泉,,0.0,12,86.0,四川·凉山州·宁南,四川,凉山州,102.267335,27.881610
3001,八台山风景名胜区,3A景区,0.7,24,109.0,四川·达州·万源市,四川,达州,107.468023,31.209571
3002,都江堰岷江新濠酒店新濠温泉,,0.0,18,55.0,四川·成都·都江堰市,四川,成都,103.660844,30.984363
3003,荔波四季花海,,0.0,34,316.0,贵州·黔南·荔波县,贵州,黔南,107.755982,25.281159
3004,织金大峡谷,,0.0,74,120.0,贵州·毕节·织金县,贵州,毕节,105.771060,26.663626
3005,百里杜鹃,5A景区,1.0,59,45.0,贵州·毕节·黔西县,贵州,毕节,105.283992,27.302589
3006,双门峡中国诗歌谷风景区,,0.0,22,55.0,贵州·遵义·绥阳县,贵州,遵义,113.559059,36.812241
3007,剑河温泉城,,0.76,94,78.0,贵州·黔东南·凯里市,贵州,黔东南,108.336643,26.672254
3008,西双版纳原始森林公园,4A景区,0.8,384,43.0,云南·西双版纳·景洪市,云南,西双版纳,100.916385,21.988288
3009,修文苏格兰牧场,,0.0,0,0.0,贵州·贵阳·修文县,贵州,贵阳,106.709494,26.892880
3010,赤水丹霞旅游区·佛光岩,,0.0,30,15.0,贵州·遵义·赤水市,贵州,遵义,105.698132,28.589557
3011,天星桥,4A景区,0.74,24,160.0,贵州·安顺·关岭县,贵州,安顺,106.027939,28.438644
3012,黄果树奇石馆,,0.0,35,152.0,贵州·安顺·黄果树风景名胜区,贵州,安顺,111.473076,22.223152
3013,上舞阳河,,0.72,45,125.0,贵州·黔东南·施秉县,贵州,黔东南,106.707410,26.598194
3014,邓小平故里,5A景区,0.8400000000000001,40,16.0,四川·广安·广安区,四川,广安,106.637016,30.521090
3015,九龙洞,,0.78,8,59.0,贵州·铜仁·铜仁市,贵州,铜仁,109.189598,27.731514
3016,贵州体育馆,,0.0,93,29.0,贵州·贵阳·南明区,贵州,贵阳,106.704209,26.560618
3017,蛤蚌河,,0.72,74,36.0,贵州·黔南·福泉市,贵州,黔南,106.707410,26.598194
3018,泸州酒城乐园,,0.0,12,29.0,四川·泸州·江阳区,四川,泸州,105.417957,28.875594
3019,芙蓉国粹,,0.0,30,70.0,四川·成都·成都锦江川剧院,四川,成都,113.093207,28.206821
3020,米仓山国家森林公园,,0.0,48,85.0,四川·巴中·南江县,四川,巴中,119.284041,26.164310
3021,青羊宫,,0.76,30,0.1,四川·成都·青羊区,四川,成都,104.043161,30.661949
3022,清溪谷花田酒地,,0.0,12,18.0,四川·泸州·纳溪区,四川,泸州,105.442258,28.871811
3023,安龙招堤,,0.74,46,80.0,贵州·黔西南·安龙县,贵州,黔西南,106.707410,26.598194
3024,白马溪景区,,0.0,49,57.0,贵州·遵义·赤水市,贵州,遵义,110.673195,22.340151
3025,瑶山古寨旅游区,3A景区,0.0,6,64.9,贵州·黔南·荔波县,贵州,黔南,120.103058,28.843304
3026,十二背后-地下裂缝景区,,0.0,75,110.0,贵州·遵义·绥阳县,贵州,遵义,107.172089,29.029650
3027,贵阳旅游直通车,,0.0,32,29.0,贵州·贵阳·南明区,贵州,贵阳,106.630153,26.647661
